trial,run_seed,problem_size,algorithm,cost_km,runtime_s
2,8,50,Ant Colony Optimization,3309.22,6.82
2,8,50,Lib Optimization,12609.85,0.67
2,8,50,LKH Algorithm,2781.75,0.35
2,9,50,Nearest Neighbor,4471.27,0.0
2,9,50,Ant Colony Optimization,3326.69,6.82
2,9,50,Lib Optimization,11109.84,0.81
2,9,50,LKH Algorithm,2781.75,0.36
3,0,50,Nearest Neighbor,7257.68,0.0
3,0,50,Ant Colony Optimization,2978.38,6.9
3,0,50,Lib Optimization,8521.88,0.75
3,0,50,LKH Algorithm,2495.63,0.36
3,1,50,Nearest Neighbor,7257.68,0.0
3,1,50,Ant Colony Optimization,2904.13,6.81
3,1,50,Lib Optimization,10712.53,0.77
3,1,50,LKH Algorithm,2495.63,0.36
3,2,50,Nearest Neighbor,7257.68,0.0
3,2,50,Ant Colony Optimization,2982.87,6.8
3,2,50,Lib Optimization,15398.22,0.71
3,2,50,LKH Algorithm,2495.63,0.36
3,3,50,Nearest Neighbor,7257.68,0.0
3,3,50,Ant Colony Optimization,2956.52,6.8
3,3,50,Lib Optimization,11533.25,0.81
3,3,50,LKH Algorithm,2495.63,0.36
3,4,50,Nearest Neighbor,7257.68,0.0
3,4,50,Ant Colony Optimization,3022.09,6.75
3,4,50,Lib Optimization,14987.9,0.29
3,4,50,LKH Algorithm,2495.63,0.35
3,5,50,Nearest Neighbor,7257.68,0.0
3,5,50,Ant Colony Optimization,2955.13,6.7
3,5,50,Lib Optimization,21296.39,0.27
3,5,50,LKH Algorithm,2495.63,0.35
3,6,50,Nearest Neighbor,7257.68,0.0
3,6,50,Ant Colony Optimization,3049.48,6.66
3,6,50,Lib Optimization,11785.77,0.65
3,6,50,LKH Algorithm,2495.63,0.35
3,7,50,Nearest Neighbor,7257.68,0.0
3,7,50,Ant Colony Optimization,2749.94,6.66
3,7,50,Lib Optimization,10017.18,0.92
3,7,50,LKH Algorithm,2495.63,0.35
3,8,50,Nearest Neighbor,7257.68,0.0
3,8,50,Ant Colony Optimization,2867.47,6.62
3,8,50,Lib Optimization,13339.94,0.67
3,8,50,LKH Algorithm,2495.63,0.35
3,9,50,Nearest Neighbor,7257.68,0.0
3,9,50,Ant Colony Optimization,3008.72,6.61
3,9,50,Lib Optimization,11713.86,0.98
3,9,50,LKH Algorithm,2495.63,0.36
4,0,50,Nearest Neighbor,7663.11,0.0
4,0,50,Ant Colony Optimization,2814.42,6.62
4,0,50,Lib Optimization,12753.24,0.57
4,0,50,LKH Algorithm,2469.85,0.35
4,1,50,Nearest Neighbor,7663.11,0.0
4,1,50,Ant Colony Optimization,2874.07,6.62
4,1,50,Lib Optimization,7210.86,0.86
4,1,50,LKH Algorithm,2469.85,0.36
4,2,50,Nearest Neighbor,7663.11,0.0
4,2,50,Ant Colony Optimization,3039.3,6.66
4,2,50,Lib Optimization,9653.53,0.65
4,2,50,LKH Algorithm,2469.85,0.36
4,3,50,Nearest Neighbor,7663.11,0.0
4,3,50,Ant Colony Optimization,2924.13,6.67
4,3,50,Lib Optimization,12553.88,0.73
4,3,50,LKH Algorithm,2469.85,0.36
4,4,50,Nearest Neighbor,7663.11,0.0
4,4,50,Ant Colony Optimization,3054.66,6.66
4,4,50,Lib Optimization,11952.04,0.7
4,4,50,LKH Algorithm,2469.85,0.36
4,5,50,Nearest Neighbor,7663.11,0.0
4,5,50,Ant Colony Optimization,2877.75,6.65
4,5,50,Lib Optimization,9605.27,0.71
4,5,50,LKH Algorithm,2469.85,0.35
4,6,50,Nearest Neighbor,7663.11,0.0
4,6,50,Ant Colony Optimization,2822.92,6.65
4,6,50,Lib Optimization,13613.45,0.38
4,6,50,LKH Algorithm,2469.85,0.35
4,7,50,Nearest Neighbor,7663.11,0.0
4,7,50,Ant Colony Optimization,2953.45,6.64
4,7,50,Lib Optimization,13884.81,0.65
4,7,50,LKH Algorithm,2469.85,0.36
4,8,50,Nearest Neighbor,7663.11,0.0
4,8,50,Ant Colony Optimization,3071.9,6.63
4,8,50,Lib Optimization,10501.52,1.05
4,8,50,LKH Algorithm,2469.85,0.36
4,9,50,Nearest Neighbor,7663.11,0.0
4,9,50,Ant Colony Optimization,2952.38,6.7
4,9,50,Lib Optimization,10085.94,0.89
4,9,50,LKH Algorithm,2469.85,0.36
5,0,50,Nearest Neighbor,3216.94,0.0
5,0,50,Ant Colony Optimization,2949.83,6.62
5,0,50,Lib Optimization,11770.4,0.93
5,0,50,LKH Algorithm,2341.54,0.35
5,1,50,Nearest Neighbor,3216.94,0.0
5,1,50,Ant Colony Optimization,2937.23,6.61
5,1,50,Lib Optimization,15019.28,0.37
5,1,50,LKH Algorithm,2341.54,0.35
5,2,50,Nearest Neighbor,3216.94,0.0
5,2,50,Ant Colony Optimization,2971.84,6.63
5,2,50,Lib Optimization,12719.54,0.86
5,2,50,LKH Algorithm,2341.54,0.35
5,3,50,Nearest Neighbor,3216.94,0.0
5,3,50,Ant Colony Optimization,3045.36,6.64
5,3,50,Lib Optimization,12158.75,0.68
5,3,50,LKH Algorithm,2341.54,0.35
5,4,50,Nearest Neighbor,3216.94,0.0
5,4,50,Ant Colony Optimization,2928.22,6.65
5,4,50,Lib Optimization,10366.46,0.6
5,4,50,LKH Algorithm,2341.54,0.35
5,5,50,Nearest Neighbor,3216.94,0.0
5,5,50,Ant Colony Optimization,2904.24,6.64
5,5,50,Lib Optimization,10328.97,0.85
5,5,50,LKH Algorithm,2341.54,0.35
5,6,50,Nearest Neighbor,3216.94,0.0
5,6,50,Ant Colony Optimization,2842.89,6.64
5,6,50,Lib Optimization,7659.54,0.82
5,6,50,LKH Algorithm,2341.54,0.35
5,7,50,Nearest Neighbor,3216.94,0.0
5,7,50,Ant Colony Optimization,2878.68,6.73
5,7,50,Lib Optimization,11967.31,0.84
